,Spring 2014 Game Schedule,,,,,,,,Mound,Base,,,
,,,,,,,,SS/SRS/8U,35,55,,,
,,Version 2 - 2/12/14,,,,,,12US,46,60,,,
,,,,,,,,14US,46,65,,,
Notes:,Bold time slots are slots with a head coach having more than one team,,,,,,,19US,50,65,,,
,"60 teams, white slot(s) = mixed age groups",,,,,,,19US,50,65,,,
,,,,,,,,10UF,35,60,,"SS, 8U, 10U works out perfect",
Sat 3/8,Field 1,Field 2,Field 3,Field 4,Field 5,Bases,,12UF,40,60,,keep 40 and 43 fast pitch separate,
,9:00,9:00,9:00,9:00,9:00,,,14UF,43,60,,pair 35 with the 43,
,SS1 vs SS2,SS3 vs SS4,10UF1 vs 10UF2,SRS3 vs SRS4,8U1 vs 8U2,,,15+F,43,60,,,
,10:00,10:00,10:15,10:00,10:00,,,,,,,,
,SRS1 vs SRS2,14UF1 vs 14UF2,10UF3 vs 10UF4,8U7 vs 8U8,8U5 vs 8U6,1,,"Slow pitch games, SSS, and 8U = 1 hour",,,,,*ok to do 2 weekday games
,11:00,11:15,11:30,11:00,11:00,,,Fast pitch games = 1:10,,,,*SS & 8U first slot only worries,
,12UF1 vs 12UF2,15F1 vs 15F2,10UF5 vs 10UF6,12US1 vs 12US2,8U3 vs 8U4,2,,,,,,*14 and up focus on 8:30 slots if needed,
,12:15,12:30,12:45,12:00,12:00,,,,,,,*7:15 ok for 19US and double headers ok,
,12UF5 vs 12UF6,15F3 vs 15F4,10UF7 vs 10UF8,14US1 vs 14US2,8U9 vs 8U10,1,,,,,,,
,1:30,1:45,2:00,1:00,1:00,,,,,,,,
,12UF3 vs 12UF4,15F5 vs 15F6,10UF9 vs 10UF10,14US3 vs 14US4,8U11 vs 8U12,,,,,,,,
,,,,,,,,,,,,,
Mon 3/10,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS1 vs SS5,SRS1 vs SRS5,8U1 vs 8U3,8U2 vs 8U4,10UF1 vs 10UF3,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,,,19US1 vs 19US2,19US3 vs 19US4,15F3 vs 15F6,2,,,,,,,
,8:15,8:30,8:15,8:15,8:45,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Tue 3/11,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS2 vs SS4,8U5 vs 8U7,8U6 vs 8U8,12UF1 vs 12UF7,10UF6 vs 10UF9,,,,,,,,
,7:15,7:15,7:15,7:30,7:30,,,,,,,,
