,Fall 2013 Practice Schedule,,,,,
,,,,,,
,,Version 4 - 8/14/13,,,,
,,,,,,
Notes:,Feyerabend=SS2/8U2 & Santiago = 10UF/13UF6 (bold in time slots),,,,,
,,,,,,
Sat 8/17,Field 1,Field 2,Field 3,Field 4,Field 5,
,9:00,9:00,9:00,9:00,9:00,
,SS1/SS2/SS3,SS4/SS5/SS6,10UF1/10UF2,8U3/8U4/8U5,8U6/8U7,
,10:30,10:30,10:30,10:30,10:30,
,8U1/8U2,10UF3/10UF4,10UF5/10UF6,10UF7/10UF8,8U8/8U9,
,12:00,12:00,12:00,12:00,12:00,
,11US1/11US2,13UF1/13UF2,13UF3/13UF4,13UF5/13UF6,13UF7/11US3
,1:30,1:30,1:30,1:30,1:30,
,14F1,14F2,14F3,14F4,empty,
,3:00,3:00,3:00,3:00,3:00,
,14US1,14US2,14US3,empty,empty,
,,,,,,
Mon 8/19,Field 1,Field 2,Field 3,Field 4,Field 5,
,6:00,6:00,6:00,6:00,6:00,
,8U2,SS4/SS5/SS6,8U1/8U3,8U4/8U5,8U6/8U7,
,7:15,7:15,7:15,7:15,7:15,
,13UF1,13UF3,10UF3,10UF5,10UF6,
,8:30,8:30,8:30,8:30,8:30,
,19US1,19US2,19US3,empty,empty,
,,,,,,
Tue 8/20,Field 1,Field 2,Field 3,Field 4,Field 5,
,6:00,6:00,6:00,6:00,6:00,
,SS1/SS2/SS3,10UF2,10UF1,10UF7/10UF8,8U8/8U9,
,7:15,7:15,7:15,7:15,7:15,
,14US1,14US2,14US3,13UF6,13UF5,
,8:30,8:30,8:30,8:30,8:30,
,19US1,19US2,19US3,empty,empty,
,,,,,,
Thu 8/22,Field 1,Field 2,Field 3,Field 4,Field 5,
,6:00,6:00,6:00,6:00,6:00,
,11US1/11US2,13UF2,13UF4,10UF4,11US3,
,7:15,7:15,7:15,7:15,7:15,
,14F1,14F2,14F3,14F4,13UF7,
,8:30,8:30,8:30,8:30,8:30,
,19US1,19US2,19US3,empty,empty,
,,,,,,
Sat 8/24,Field 1,Field 2,Field 3,Field 4,Field 5,
,9:00,9:00,9:00,9:00,9:00,
,County has fields,County has fields,County has fields,County has fields,County has fields,
,10:30,10:30,10:30,10:30,10:30,
,County has fields,County has fields,County has fields,County has fields,County has fields,
,12:00,12:00,12:00,12:00,12:00,
,County has fields,County has fields,County has fields,County has fields,County has fields,
,1:30,1:30,1:30,1:30,1:30,
,County has fields,County has fields,County has fields,County has fields,County has fields,
,3:00,3:00,3:00,3:00,3:00,
,County has fields,County has fields,County has fields,County has fields,County has fields,
,,,,,,
Mon 8/26,Field 1,Field 2,Field 3,Field 4,Field 5,
,6:00,6:00,6:00,6:00,6:00,
,8U2,SS4/SS5/SS6,8U1/8U3,8U4/8U5,8U6/8U7,
,7:15,7:15,7:15,7:15,7:15,
,13UF1,13UF3,10UF3,10UF5,10UF6,
,8:30,8:30,8:30,8:30,8:30,
,19US1,19US2,19US3,empty,empty,
,,,,,,
Tue 8/27,Field 1,Field 2,Field 3,Field 4,Field 5,
,6:00,6:00,6:00,6:00,6:00,
,SS1/SS2/SS3,10UF2,10UF1,10UF7/10UF8,8U8/8U9,
,7:15,7:15,7:15,7:15,7:15,
,14US1,14US2,14US3,13UF6,13UF5,
,8:30,8:30,8:30,8:30,8:30,
,19US1,19US2,19US3,empty,empty,
,,,,,,
Thu 8/29,Field 1,Field 2,Field 3,Field 4,Field 5,
,6:00,6:00,6:00,6:00,6:00,
,11US1/11US2,13UF2,13UF4,10UF4,11US3,
,7:15,7:15,7:15,7:15,7:15,
,14F1,14F2,14F3,14F4,13UF7,
,8:30,8:30,8:30,8:30,8:30,
,19US1,19US2,19US3,empty,empty,
,,,,,,
,,,,,,
Sat 8/31,Field 1,Field 2,Field 3,Field 4,Field 5,
,9:00,9:00,9:00,9:00,9:00,
,SS1/SS2/SS3,SS4/SS5/SS6,10UF1/10UF2,8U3/8U4/8U5,8U6/8U7,
,10:30,10:30,10:30,10:30,10:30,
,8U1/8U2,10UF3/10UF4,10UF5/10UF6,10UF7/10UF8,8U8/8U9,
,12:00,12:00,12:00,12:00,12:00,
,11US1/11US2,13UF1/13UF2,13UF3/13UF4,13UF5/13UF6,13UF7/11US3
,1:30,1:30,1:30,1:30,1:30,
,14F1,14F2,14F3,14F4,empty,
,3:00,3:00,3:00,3:00,3:00,
,14US1,14US2,14US3,empty,empty,
,,,,,,
,,,,,,
Mon 9/2,Field 1,Field 2,Field 3,Field 4,Field 5,
,6:00,6:00,6:00,6:00,6:00,
,8U2,SS4/SS5/SS6,8U1/8U3,8U4/8U5,8U6/8U7,
,7:15,7:15,7:15,7:15,7:15,
,13UF1,13UF3,10UF3,10UF5,10UF6,
,8:30,8:30,8:30,8:30,8:30,
,19US1,19US2,19US3,empty,empty,
,,,,,,
Tue 9/3,Field 1,Field 2,Field 3,Field 4,Field 5,
,6:00,6:00,6:00,6:00,6:00,
,SS1/SS2/SS3,10UF2,10UF1,10UF7/10UF8,8U8/8U9,
,7:15,7:15,7:15,7:15,7:15,
,14US1,14US2,14US3,13UF6,13UF5,
,8:30,8:30,8:30,8:30,8:30,
,19US1,19US2,19US3,empty,empty,
,,,,,,
Thu 9/5,Field 1,Field 2,Field 3,Field 4,Field 5,
,6:00,6:00,6:00,6:00,6:00,
,11US1/11US2,13UF2,13UF4,10UF4,11US3,
,7:15,7:15,7:15,7:15,7:15,
,14F1,14F2,14F3,14F4,13UF7,
,8:30,8:30,8:30,8:30,8:30,
,19US1,19US2,19US3,empty,empty,
